listing_id,url,name,location,tags,address,image_url,phone,whatsapp,email,line,website,facebook,instagram,tiktok,youtube,description
27,https://www.samuisocial.com/directory/listing/27,New Body and Mind,Lipa Noi,"Beauty & Wellness, Detox & Weight Loss, Swimming Pool, Sauna, Steam Room, Floating Tank, Sound Healing, Bath Therapy, Health Food, Sports Massage, Herbal Steam Room, Thai Massage, Foot Massage, Coconut Oil Massage, Deep Tissue Massage, Neck And Shoulder Massage, Head Massage, Speciality Massages",,https://www.samuisocial.com/asset/uploads/businesslistings/27/profile.jpg?t=1764305509,+6677423189;+66988204967,https://wa.me/+66988204967,sawadee@newbodyandmind.com,,https://www.newbodyandmind.com,https://www.facebook.com/newbodyandmindretreats/,https://www.instagram.com/newbodyandmindofficial,,https://www.youtube.com/@NewBodyandMindRetreats,"Thailand’s Premier Detox, Weight Loss & Wellness Retreat
Discover the transformative power of
New Body and Mind
, Thailand’s only exclusive retreat for detox, weight loss, and holistic wellness. Our carefully designed programs combine proven methods with a supportive, nurturing environment, helping you achieve long-lasting results for both body and mind.
Set against the tranquil backdrop of sand, sea, and sun, our retreat offers more than just relaxation—it’s an opportunity for true renewal. Our programs integrate advanced detox therapies, personalized weight loss plans, and rejuvenating treatments such as
massage, sauna, steam room, hydrotherapy, halotherapy, and float tank sessions
, all designed to cleanse, heal, and restore balance.
We go beyond physical transformation by focusing on overall well-being. Our
nutrition and mind management workshops
provide the tools to maintain a healthier lifestyle long after your retreat, ensuring sustainable change. Whether you're looking to reset your health, lose weight, or simply reconnect with yourself, New Body and Mind offers a
holistic approach to wellness
that nurtures both body and spirit.
With expert guidance, a peaceful setting, and a focus on personal growth, we provide an
extraordinary retreat experience
that will leave you feeling revitalized, empowered, and inspired to embrace a healthier, happier life."""
28,https://www.samuisocial.com/directory/listing/28,The Palms Bar & Grill,Chaweng,"Bars & Nightlife, Bars & Pubs, Live Music, Dj Music, Snack Menu, Pool Table, Sports Bar, Rock Music",,https://www.samuisocial.com/asset/uploads/businesslistings/28/profile.jpg?t=1764305511,+66805193931,https://wa.me/+66805193931,,,https://thepalmssamui.com/;https://x.com/Palms_Samui,https://www.facebook.com/thepalmssamui,https://www.instagram.com/thepalms_samui/,,,
29,https://www.samuisocial.com/directory/listing/29,Bondi Aussie Bar & Grill,Chaweng,"Food & Beverage, Restaurants, Bars & Entertainment, Meat Lovers, Thai Food, International Food, Aussie Food, Cocktails, Wifi Access In Restaurant",,https://www.samuisocial.com/asset/uploads/businesslistings/29/profile.webp?t=1764305512,+66954197630,https://wa.me/+66954197630,,,https://www.bondiasia.com;https://x.com/BondiSamui,https://www.facebook.com/Bondiasia/,https://www.instagram.com/bondi_asia,,,"Authentic Aussie Dining in Koh Samui
Craving juicy steaks, hearty burgers, fresh seafood, or indulgent desserts? Bondi Aussie Bar & Grill brings you generous portions of the best Aussie food, expertly prepared with premium ingredients.
A True Aussie Experience:
Enjoy perfectly grilled steaks, succulent burgers, and crispy seafood, all cooked over open flames for that authentic BBQ flavor.
Premium Ingredients:
We use Australian meats and the freshest local produce to create mouth-watering dishes.
Gourmet Pub Grub:
Classic pub food gets a gourmet twist with delicious steaks, burgers, salads, sides, and decadent desserts.
Vibrant Atmosphere:
Whether you're enjoying dinner with friends or a family gathering, Bondi offers a welcoming, friendly vibe.
Join us for a true Aussie dining experience, packed with flavor and warmth."""
30,https://www.samuisocial.com/directory/listing/30,Samui Media Group,Bophut,"Professional Services, Marketing, Graphic Design & Printing, Merchandise, Web Development, Seo Services, Digital Marketing, Graphic Design, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/30/profile.webp?t=1764305514,+66800381034,https://wa.me/+66800381034,info@samuimediagroup.com,,https://t.me/+66800381034;https://www.samuimediagroup.com,https://www.facebook.com/samuimedia,,,,"Samui Media Group: Digital & Print Solutions
At Samui Media Group, we bring your vision to life with high-quality digital and print solutions. Our expert team excels in four key areas:
Web Design & Development:
Crafting stunning, functional websites for all needs—simple sites or complex e-commerce platforms.
Graphic Design:
Transforming ideas into captivating visuals, from logos to custom graphics.
Online Marketing:
Enhancing your online presence with SEO, social media management, and targeted campaigns.
Print Work:
High-quality print services for business cards, brochures, large format prints, and more.
We’re committed to excellence, ensuring every project exceeds expectations. Let’s create something amazing together."""
31,https://www.samuisocial.com/directory/listing/31,The Outback Cafe,Lipa Noi,"Food & Beverage, Restaurants, Pet Friendly, Thai Food, International Food, Breakfast, Wifi Access In Restaurant",,https://www.samuisocial.com/asset/uploads/businesslistings/31/profile.jpg?t=1764305514,+66897277757,https://wa.me/+66897277757,waraporn.dkt@gmail.com,,,https://www.facebook.com/Outbackcafe,https://www.instagram.com/the_outback_cafe_lipanoi/,,,"Cozy Café in Lipa Noi
Nestled in the heart of Lipa Noi, The Outback offers a welcoming environment for enjoying freshly brewed coffee, hearty breakfasts, and delicious light lunches. Whether you're gathering with friends or enjoying a solo meal, the cozy and relaxed atmosphere makes it a perfect spot for every occasion.
Freshly Brewed Coffee & Hearty Breakfasts
Kick-start your day with our locally roasted coffee, available in various styles—from rich cappuccinos to refreshing iced lattes. Pair it with a hearty breakfast, including favorites like avocado toast, eggs benedict, pancakes, and smoothie bowls, all made with fresh, quality ingredients.
Tasty Lunch Options
For lunch, indulge in gourmet sandwiches, fresh salads, and nourishing bowls, all crafted to satisfy your cravings and provide a wholesome, delicious meal.
Relaxing & Welcoming Atmosphere
The Outback is the perfect place to unwind, whether you're enjoying a quiet morning coffee or a leisurely lunch. Come visit and experience a warm, inviting vibe that will make you feel right at home."""
32,https://www.samuisocial.com/directory/listing/32,La Marine Lakeside,Chaweng,"Food & Beverage, Restaurants, Dj Music, Meat Lovers, Thai Food, French Food",,https://www.samuisocial.com/asset/uploads/businesslistings/32/profile.jpg?t=1764305516,+66802460173,,,,,,,,,
34,https://www.samuisocial.com/directory/listing/34,La Bodega,Lamai,"Food & Beverage, Restaurants, Meat Lovers, Thai Food, Spanish Food, Tapas, Mediterranean Food",,https://www.samuisocial.com/asset/uploads/businesslistings/34/profile.jpg?t=1764305518,+66940579605,,,,,,,,,
35,https://www.samuisocial.com/directory/listing/35,Samui Print,Bophut,"Professional Services, Graphic Design & Printing, Graphic Design, E-commerce Websites, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/35/profile.webp?t=1764305519,+66800381034,,,,,,,,,
42,https://www.samuisocial.com/directory/listing/42,Samui Graphic Design,Bophut,"Professional Services, Graphic Design & Printing, Seo Services, Digital Marketing, Graphic Design, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/42/profile.webp?t=1764305521,+66848467182,https://wa.me/+66848467182,info@samuimediagroup.com,,https://www.samuigraphicdesign.com,,,,,"At Samui Graphic Design, we’re passionate about transforming ideas into stunning visuals that resonate with your audience. Whether you’re launching a new business or refreshing your brand, our talented designers are here to help you stand out.
What We Offer:
Logo Design & Branding: Crafting unique and memorable identities.
Marketing Materials: Flyers, brochures, posters, and more that captivate and convert.
Custom Graphics: Tailored designs for websites, social media, and print.
Complete Design Solutions: From concept to completion, we make your vision a reality.
We combine creativity, professionalism, and attention to detail to ensure your designs not only look beautiful but also communicate your brand’s message effectively.
Contact Samui Graphic Design today and discover how we can elevate your brand with captivating visuals."""
44,https://www.samuisocial.com/directory/listing/44,Samui Marketing,Bophut,"Professional Services, Marketing, Seo Services, Digital Marketing, Logo Design",,https://www.samuisocial.com/asset/uploads/businesslistings/44/profile.webp?t=1764305523,+66800381034,https://wa.me/+66800381034,info@samuimediagroup.com,,https://www.samuimarketing.com,,,,,"The primary concept that ties everything that we do together is our consultative approach.
We are marketing consultants first, and our goal is to correctly diagnose the challenges you’re experiencing, and fit you with the appropriate solution that will help you to get the results you’re looking for.
As marketing consultants, we coach our clients on helping them to reach their dreams.
We help with business start ups, entrepreneur challenges, ideas, questions, and so much more. Our clients rely on us for marketing everything from starting their businesses to selling them, and all things in between.
As your dedicated marketing resource, the most common request that we receive is for us to become a partner.
Small businesses and medium-sized businesses need a partner to help them to accomplish their goals with marketing and business growth.
With the right expertise, you are much more likely to reach your goals. We expertly guide people along their journey."""
